snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
600.0,5,0.175,0.8,0.1399999999999999,0.18045826075101004,0.7982958472347407,0.1440590801567353
600.0,5,0.2,0.8,0.16,0.19999999660490372,0.807466795544303,0.1614933563674331
600.0,6,0.0,0.0,0.0,0.0010001104037111862,0.0010033043775339568,1.003415146060686e-06
600.0,6,0.025,0.1,0.0025,0.17587763872166925,0.05567724072318292,0.009792381628931377
600.0,6,0.025,0.2,0.005,0.01578559732027564,0.2120742771939149,0.0033477191417716563
600.0,6,0.05,0.2,0.01,0.10639277057544778,0.14870765343902542,0.01582141925515143
600.0,6,0.025,0.3,0.0075,0.02021167866721924,0.27495534821502976,0.005557309145955554
600.0,6,0.05,0.3,0.015,0.051346091918473474,0.29659380039389466,0.01522893253747429
600.0,6,0.075,0.3,0.0225,0.09683851098201143,0.305193669912602,0.02955450055547188
600.0,6,0.1,0.3,0.03,0.11445961418947821,0.31095456031915947,0.035591739004589826
600.0,6,0.025,0.4,0.01,0.025785716462354676,0.3971851284254489,0.010241703104642553
600.0,6,0.05,0.4,0.02,0.04652082058565767,0.40383774331617245,0.018786863202528533
600.0,6,0.075,0.4,0.03,0.07879209365305212,0.4070864197444072,0.03207519130938702
600.0,6,0.1,0.4,0.04,0.1178600289659272,0.397692744108186,0.04687207834012988
600.0,6,0.025,0.5,0.0125,0.023697411873444492,0.5147344753810456,0.01219787486856601
600.0,6,0.05,0.5,0.025,0.05090680929582691,0.5222438304243217,0.02658576708133311
600.0,6,0.075,0.5,0.0375,0.08200480182189784,0.5027487179631719,0.04122780898278312
600.0,6,0.1,0.5,0.05,0.11810057634042519,0.47401837844192246,0.05598184368994482
600.0,6,0.125,0.5,0.0625,0.12844198991954017,0.5032113143935513,0.06463346257073507
600.0,6,0.15,0.5,0.075,0.1684449509886489,0.49269670131949594,0.08299227170603148
600.0,6,0.175,0.5,0.0875,0.19144209239417095,0.5103388703900275,0.09770034117754448
600.0,6,0.2,0.5,0.1,0.19999999999999998,0.5157108722473437,0.10314217444946873
600.0,6,0.025,0.6,0.015,0.022165464257713943,0.606131055130562,0.013435176237986911
600.0,6,0.05,0.6,0.03,0.04941894245826569,0.5967254079162411,0.02948953859719784
600.0,6,0.075,0.6,0.045,0.0840121903551812,0.5892020913148494,0.04950015825321398
600.0,6,0.1,0.6,0.06,0.10880959563730883,0.6005060661638799,0.0653408222370428
600.0,6,0.125,0.6,0.075,0.13234120147856326,0.6001026211782887,0.07941830189716984
600.0,6,0.15,0.6,0.09,0.1555451959709226,0.6146802843372867,0.09561056528670568
600.0,6,0.175,0.6,0.105,0.18441867872543255,0.5996315078823626,0.1105832504058041
600.0,6,0.2,0.6,0.12,0.19999999999999998,0.6183259516377898,0.12366519032755795
600.0,6,0.025,0.7,0.0174999999999999,0.026860809633183824,0.6820506400085797,0.01832043240146165
600.0,6,0.05,0.7,0.0349999999999999,0.0483277476259851,0.6977360406408124,0.033720011281643265
600.0,6,0.075,0.7,0.0525,0.07943258664806373,0.6805029807181372,0.054054111980159074
600.0,6,0.1,0.7,0.0699999999999999,0.11089940737729982,0.689810333157107,0.07649955714986093
600.0,6,0.125,0.7,0.0875,0.13512789175510376,0.6955320895777634,0.09398578491266514
